requirement_id,line_no,summary,phase,artifact,validation,owner
R-2591,2591,this master file is available in the working context;,0,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 0,P1
R-2592,2592,repository access is available; and,0,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 0,P1
R-2593,2593,the agent can read file metadata and execute non-destructive inspection commands.,0,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 0,P1
R-2598,2598,"None beyond repository access. Do not assume that any historical prompt, companion file, runbook, path, or expected count is correct.",0,instruction_precedence.md,instruction-precedence audit (Phase 0 task 2),P1
R-2615,2615,Locate and fingerprint the repository.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2616,2616,"Determine the project root. For this framework the ""repository root"" IS the project directory containing `pyproject.toml` and this master...",0,project_configuration.md,Phase 0 validation procedures + Gate 0 review,P5
R-2623,2623,"Record branch, HEAD, remotes, submodules, tags, and dirty state.",0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P5
R-2624,2624,Run: [commands in fenced block below],0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2633,2633,Store `anchor_commit=<sha>` and a dirty-path list.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P5
R-2634,2634,"A dirty path under the project root touching benchmark evidence, source code, configuration, tables, figures, or analysis blocks freezing...",0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P5
R-2639,2639,Resolve instruction precedence.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2640,2640,"Inventory this master, prior prompts, `runbook.md`, companions, and addenda.",0,instruction_precedence.md,Phase 0 validation procedures + Gate 0 review,P1
R-2642,2642,Create `instruction_precedence.md` with conflicts and disposition.,0,instruction_precedence.md,Phase 0 validation procedures + Gate 0 review,P1
