requirement_id,line_no,summary,phase,artifact,validation,owner
R-5051,5051,Any score below 4 creates a mandatory ticket.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5052,5052,A score of 5 requires explicit evidence.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5054,5054,Create revision tickets.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5055,5055,"critical, major, minor, or editorial.",10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5056,5056,"Include claim/evidence IDs, affected phases, fix, verification, and owner.",10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5058,5058,Resolve tickets in severity order.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5059,5059,Prose-only fix: preserve evidence and rebuild both formats.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5060,5060,"Analysis fix: reopen Phase 5/6 through change control, rerun, regenerate exhibits, update claims, rebuild both formats.",10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5062,5062,Method description fix: reconcile with frozen code; do not change code.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5063,5063,Missing primary evidence: narrow/remove claim; do not run early ablation.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5064,5064,Journal/Word fix: update template/generator and revalidate.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5066,5066,Maintain response log.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5067,5067,"Quote issue, action, exact section/artifact, evidence, and verification.",10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5068,5068,Declined suggestions need principled reason.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5070,5070,Rerun affected reviewers.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5071,5071,Review touched sections and dependent artifacts.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
R-5072,5072,Repeat until no critical/major issue.,10,revision_tickets.csv / revision_log.md,Gate 10 sign-off (P1+P3+P5+P6+P7+P8+P9); Phase 10 validation procedures,P6
