line_no,classification,requirement_id,note
6301,integrated,R-6301,
6302,integrated,R-6301,continuation of R-6301
6304,integrated,R-6304,
6305,integrated,R-6305,
6306,integrated,R-6306,
6307,integrated,R-6307,
6308,integrated,R-6308,
6309,integrated,R-6309,
6310,integrated,R-6310,
6311,integrated,R-6311,
6312,integrated,R-6312,
6313,integrated,R-6313,
6314,integrated,R-6313,continuation of R-6313
6316,structural_heading,,
6318,integrated,R-6318,
6319,integrated,R-6319,
6320,integrated,R-6320,
6321,integrated,R-6321,
6322,integrated,R-6322,
6323,integrated,R-6323,
6324,integrated,R-6324,
6325,integrated,R-6325,
6326,integrated,R-6326,
6327,integrated,R-6327,
6328,integrated,R-6328,
6330,structural_heading,,
6332,integrated,R-6332,
6333,integrated,R-6332,continuation of R-6332
6334,integrated,R-6334,
6335,integrated,R-6335,
6336,integrated,R-6335,continuation of R-6335
6337,integrated,R-6335,continuation of R-6335
6338,integrated,R-6335,continuation of R-6335
6339,integrated,R-6339,
6340,integrated,R-6340,
6341,integrated,R-6341,
6342,integrated,R-6342,
6343,integrated,R-6343,
6344,integrated,R-6343,continuation of R-6343
6345,integrated,R-6343,continuation of R-6343
6346,integrated,R-6343,continuation of R-6343
6347,integrated,R-6347,
6348,integrated,R-6348,
6349,integrated,R-6348,continuation of R-6348
6351,structural_heading,,horizontal rule
6353,structural_heading,,
6355,structural_heading,,
6357,integrated,R-6357,
6359,integrated,R-6359,
6360,integrated,R-6360,
6361,integrated,R-6360,continuation of R-6360
6362,integrated,R-6362,
6363,integrated,R-6363,
6364,integrated,R-6364,
6365,integrated,R-6365,
6366,integrated,R-6366,
6367,integrated,R-6367,
6369,structural_heading,,
6371,integrated,R-6371,
6372,integrated,R-6372,
6373,integrated,R-6373,
6374,integrated,R-6373,continuation of R-6373
6375,integrated,R-6375,
6377,structural_heading,,
6379,integrated,R-6379,
6380,integrated,R-6379,continuation of R-6379
6382,structural_heading,,code fence delimiter
6383,integrated,R-6379,validator spec for R-6379
6384,integrated,R-6379,validator spec for R-6379
6385,structural_heading,,code fence delimiter
6387,integrated,R-6387,
6388,integrated,R-6387,continuation of R-6387
6390,structural_heading,,
6392,integrated,R-6392,
6394,integrated,R-6394,
6395,integrated,R-6395,
6396,integrated,R-6396,
6397,integrated,R-6397,
6398,integrated,R-6398,
6399,integrated,R-6399,
6400,integrated,R-6400,
6401,integrated,R-6401,
6403,structural_heading,,
6405,integrated,R-6405,
6407,integrated,R-6405,comparison item for R-6405
6408,integrated,R-6405,comparison item for R-6405
6409,integrated,R-6405,comparison item for R-6405
6410,integrated,R-6405,comparison item for R-6405
6411,integrated,R-6405,comparison item for R-6405
6412,integrated,R-6405,comparison item for R-6405
6413,integrated,R-6405,comparison item for R-6405
6415,structural_heading,,
6417,structural_heading,,
6419,structural_heading,,code fence delimiter
6420,integrated,R-6420,
6421,integrated,R-6420,command spec for R-6420
6422,structural_heading,,code fence delimiter
6424,integrated,R-6424,
6426,structural_heading,,code fence delimiter
6427,integrated,R-6424,log pattern for R-6424
6428,integrated,R-6424,log pattern for R-6424
6429,integrated,R-6424,log pattern for R-6424
6430,integrated,R-6424,log pattern for R-6424
6431,integrated,R-6424,log pattern for R-6424
6432,integrated,R-6424,log pattern for R-6424
6433,structural_heading,,code fence delimiter
6435,integrated,R-6435,
6437,integrated,R-6437,
6438,integrated,R-6437,continuation of R-6437
6439,integrated,R-6437,continuation of R-6437
6440,integrated,R-6437,continuation of R-6437
6441,integrated,R-6437,continuation of R-6437
6443,structural_heading,,
6445,integrated,R-6445,
6447,integrated,R-6445,Word validation item for R-6445
6448,integrated,R-6445,Word validation item for R-6445
6449,integrated,R-6445,Word validation item for R-6445
6450,integrated,R-6445,Word validation item for R-6445
6451,integrated,R-6445,Word validation item for R-6445
6452,integrated,R-6445,Word validation item for R-6445
6453,integrated,R-6445,Word validation item for R-6445
6454,integrated,R-6445,Word validation item for R-6445
6455,integrated,R-6445,Word validation item for R-6445
6456,integrated,R-6445,Word validation item for R-6445
6458,structural_heading,,
6460,integrated,R-6460,
6461,integrated,R-6460,continuation of R-6460
6462,integrated,R-6460,continuation of R-6460
6463,integrated,R-6463,
6464,integrated,R-6464,
6465,integrated,R-6465,
6466,integrated,R-6466,
6467,integrated,R-6467,
6469,structural_heading,,
6471,integrated,R-6471,
6473,structural_heading,,code fence delimiter
6474,integrated,R-6471,command spec for R-6471
6475,integrated,R-6471,command spec for R-6471
6476,integrated,R-6471,command spec for R-6471
6477,integrated,R-6471,command spec for R-6471
6478,structural_heading,,code fence delimiter
6480,integrated,R-6480,
6482,structural_heading,,
6484,integrated,R-6484,
6486,structural_heading,,
6488,integrated,R-6488,
6489,integrated,R-6489,
6490,integrated,R-6490,
6491,integrated,R-6491,
6492,integrated,R-6492,
6493,integrated,R-6493,
6494,integrated,R-6494,
6496,structural_heading,,
6498,integrated,R-6498,
6499,integrated,R-6499,
6500,integrated,R-6500,
6501,integrated,R-6501,
6502,integrated,R-6502,
6503,integrated,R-6503,
6505,structural_heading,,
6507,integrated,R-6507,
6508,integrated,R-6508,
6509,integrated,R-6509,
6510,integrated,R-6510,
6511,integrated,R-6511,
6512,integrated,R-6512,
6513,integrated,R-6513,
6514,integrated,R-6514,
6515,integrated,R-6515,
6517,structural_heading,,
6519,integrated,R-6519,
6520,integrated,R-6520,
6521,integrated,R-6521,
6522,integrated,R-6522,
6523,integrated,R-6523,
6524,integrated,R-6524,
6525,integrated,R-6524,continuation of R-6524
6526,integrated,R-6524,continuation of R-6524
6527,integrated,R-6524,continuation of R-6524
6528,integrated,R-6528,
6529,integrated,R-6529,
6531,structural_heading,,
6533,integrated,R-6533,
6534,integrated,R-6534,
6535,integrated,R-6535,
6536,integrated,R-6535,continuation of R-6535
6537,integrated,R-6535,continuation of R-6535
6538,integrated,R-6535,continuation of R-6535
6539,integrated,R-6539,
6540,integrated,R-6540,
6541,integrated,R-6540,continuation of R-6540
6542,integrated,R-6540,continuation of R-6540
6543,integrated,R-6540,continuation of R-6540
6544,integrated,R-6544,
6545,integrated,R-6545,
6546,integrated,R-6546,
6547,integrated,R-6547,
6549,structural_heading,,
6551,integrated,R-6551,
6552,integrated,R-6552,
6553,integrated,R-6553,
6554,integrated,R-6554,
6555,integrated,R-6555,
6556,integrated,R-6556,
6557,integrated,R-6557,
6558,integrated,R-6558,
6560,structural_heading,,
6562,integrated,R-6562,
6563,integrated,R-6562,continuation of R-6562
6564,integrated,R-6564,
6565,integrated,R-6565,
6566,integrated,R-6566,
6567,integrated,R-6567,
6568,integrated,R-6568,
6569,integrated,R-6569,
6571,structural_heading,,horizontal rule
6573,structural_heading,,
6575,integrated,R-6575,
6577,structural_heading,,code fence delimiter
6578,integrated,R-6575,expected key set for R-6575
6579,integrated,R-6575,expected key set for R-6575
6580,integrated,R-6575,expected key set for R-6575
6582,integrated,R-6575,expected key set for R-6575
6583,integrated,R-6575,expected key set for R-6575
6584,integrated,R-6575,expected key set for R-6575
6585,integrated,R-6575,expected key set for R-6575
6586,integrated,R-6575,expected key set for R-6575
6588,integrated,R-6575,expected key set for R-6575
6589,integrated,R-6575,expected key set for R-6575
6590,integrated,R-6575,expected key set for R-6575
6591,integrated,R-6575,expected key set for R-6575
6593,integrated,R-6575,expected key set for R-6575
6594,integrated,R-6575,expected key set for R-6575
6595,integrated,R-6575,expected key set for R-6575
6597,integrated,R-6575,expected key set for R-6575
6598,integrated,R-6575,expected key set for R-6575
6599,integrated,R-6575,expected key set for R-6575
6601,integrated,R-6575,expected key set for R-6575
6602,integrated,R-6575,expected key set for R-6575
6603,integrated,R-6575,expected key set for R-6575
6605,integrated,R-6575,expected key set for R-6575
6606,integrated,R-6575,expected key set for R-6575
6608,integrated,R-6575,expected key set for R-6575
6609,integrated,R-6575,expected key set for R-6575
6610,integrated,R-6575,expected key set for R-6575
6611,integrated,R-6575,expected key set for R-6575
6613,integrated,R-6575,expected key set for R-6575
6614,integrated,R-6575,expected key set for R-6575
6615,structural_heading,,code fence delimiter
6617,integrated,R-6617,
6619,structural_heading,,horizontal rule
6621,structural_heading,,
6623,structural_heading,,
6625,integrated,R-6625,
6626,integrated,R-6626,
6627,integrated,R-6627,
6628,integrated,R-6628,
6629,integrated,R-6629,
6630,integrated,R-6630,
6632,structural_heading,,
6634,nonoperative,,usage-map key list; governed by R-6648
6635,nonoperative,,usage-map key list; governed by R-6648
6636,nonoperative,,usage-map key list; governed by R-6648
6637,nonoperative,,usage-map key list; governed by R-6648
6638,nonoperative,,usage-map key list; governed by R-6648
6639,nonoperative,,usage-map key list; governed by R-6648
6640,nonoperative,,usage-map key list; governed by R-6648
6641,nonoperative,,usage-map key list; governed by R-6648
6642,nonoperative,,usage-map key list; governed by R-6648
6643,nonoperative,,usage-map key list; governed by R-6648
6644,nonoperative,,usage-map key list; governed by R-6648
6645,nonoperative,,usage-map key list; governed by R-6648
6646,nonoperative,,usage-map key list; governed by R-6648
6648,integrated,R-6648,
6649,integrated,R-6648,continuation of R-6648
6651,structural_heading,,
6653,integrated,R-6653,
6654,integrated,R-6654,
6655,integrated,R-6655,
6656,integrated,R-6655,continuation of R-6655
6657,integrated,R-6657,
6658,integrated,R-6658,
6659,integrated,R-6659,
6660,integrated,R-6659,continuation of R-6659
6661,integrated,R-6661,
6663,structural_heading,,
6665,integrated,R-6665,
6666,integrated,R-6666,
6667,integrated,R-6667,
6668,integrated,R-6668,
6669,integrated,R-6668,continuation of R-6668
6671,structural_heading,,
6673,integrated,R-6673,
6674,integrated,R-6673,continuation of R-6673
6675,integrated,R-6675,
6677,structural_heading,,
6679,integrated,R-6679,
6680,integrated,R-6680,
6681,integrated,R-6681,
6683,structural_heading,,
6685,integrated,R-6685,
6686,integrated,R-6685,continuation of R-6685
6688,structural_heading,,
6690,integrated,R-6690,
6691,integrated,R-6691,
6692,integrated,R-6692,
6693,integrated,R-6693,
6694,integrated,R-6694,
6695,integrated,R-6695,
6696,integrated,R-6696,
6698,structural_heading,,
6700,integrated,R-6700,
6701,integrated,R-6701,
6702,integrated,R-6701,continuation of R-6701
6704,structural_heading,,horizontal rule
6706,structural_heading,,
6708,structural_heading,,
6710,integrated,R-6710,
6712,integrated,R-6712,
6713,integrated,R-6713,
6714,integrated,R-6714,
6715,integrated,R-6715,
6716,integrated,R-6716,
6717,integrated,R-6717,
6718,integrated,R-6718,
6719,integrated,R-6719,
6720,integrated,R-6720,
6721,integrated,R-6721,
6722,integrated,R-6722,
6723,integrated,R-6723,
6724,integrated,R-6723,continuation of R-6723
6725,integrated,R-6725,
6726,integrated,R-6726,
6727,integrated,R-6727,
6728,integrated,R-6728,
6729,integrated,R-6729,
6730,integrated,R-6730,
6731,integrated,R-6731,
6732,integrated,R-6731,continuation of R-6731
6733,integrated,R-6733,
6734,integrated,R-6734,
6735,integrated,R-6734,continuation of R-6734
6736,integrated,R-6736,
6737,integrated,R-6737,
6738,integrated,R-6738,
6739,integrated,R-6739,
6740,integrated,R-6740,
6741,integrated,R-6741,
6742,integrated,R-6742,
6743,integrated,R-6742,continuation of R-6742
6744,integrated,R-6744,
6745,integrated,R-6745,
6746,integrated,R-6745,continuation of R-6745
6747,integrated,R-6747,
6748,integrated,R-6748,
6750,structural_heading,,
6752,integrated,R-6752,
6754,structural_heading,,code fence delimiter
6755,integrated,R-6752,restricted formulation for R-6752
6756,integrated,R-6752,restricted formulation for R-6752
6757,integrated,R-6752,restricted formulation for R-6752
6758,integrated,R-6752,restricted formulation for R-6752
6759,integrated,R-6752,restricted formulation for R-6752
6760,integrated,R-6752,restricted formulation for R-6752
6761,integrated,R-6752,restricted formulation for R-6752
6762,integrated,R-6752,restricted formulation for R-6752
6763,integrated,R-6752,restricted formulation for R-6752
6764,integrated,R-6752,restricted formulation for R-6752
6765,integrated,R-6752,restricted formulation for R-6752
6766,integrated,R-6752,restricted formulation for R-6752
6767,integrated,R-6752,restricted formulation for R-6752
6768,integrated,R-6752,restricted formulation for R-6752
6769,integrated,R-6752,restricted formulation for R-6752
