line_no,classification,requirement_id,note
3801,integrated,R-3801,
3803,structural_heading,,
3805,integrated,R-3805,
3806,integrated,R-3806,
3807,integrated,R-3807,
3808,integrated,R-3808,
3809,integrated,R-3809,
3810,integrated,R-3810,
3811,integrated,R-3811,
3813,structural_heading,,
3815,integrated,R-3815,
3816,integrated,R-3816,
3817,integrated,R-3817,
3818,integrated,R-3818,
3819,integrated,R-3819,
3820,integrated,R-3820,
3822,structural_heading,,
3824,integrated,R-3824,
3825,integrated,R-3824,cont R-3824
3827,structural_heading,,
3829,structural_heading,,table header
3830,structural_heading,,table separator
3831,nonoperative,,risk table row (context)
3832,nonoperative,,risk table row (context)
3833,nonoperative,,risk table row (context)
3834,nonoperative,,risk table row (context)
3835,nonoperative,,risk table row (context)
3837,structural_heading,,
3839,nonoperative,,assumption context
3840,nonoperative,,assumption context
3841,nonoperative,,assumption context
3843,structural_heading,,
3845,nonoperative,,mitigation context
3846,nonoperative,,mitigation context
3847,nonoperative,,mitigation context
3848,nonoperative,,mitigation context
3849,nonoperative,,mitigation context
3851,structural_heading,,
3853,integrated,R-3853,
3854,integrated,R-3853,cont R-3853
3855,integrated,R-3853,cont R-3853
3857,structural_heading,,
3859,integrated,R-3859,
3860,integrated,R-3859,cont R-3859
3862,structural_heading,,horizontal rule
3864,structural_heading,,
3866,structural_heading,,
3868,nonoperative,,
3869,nonoperative,,
3870,nonoperative,,
3872,structural_heading,,
3874,nonoperative,,outcome summary; enforced at acceptance
3875,nonoperative,,outcome summary; enforced at acceptance
3876,nonoperative,,
3877,nonoperative,,outcome summary; enforced at acceptance
3878,nonoperative,,outcome summary; enforced at acceptance
3879,nonoperative,,outcome summary; enforced at acceptance
3881,structural_heading,,
3883,integrated,R-3883,
3884,integrated,R-3884,
3885,integrated,R-3885,
3886,integrated,R-3886,
3887,integrated,R-3887,
3889,structural_heading,,
3891,nonoperative,,prerequisite listing
3892,nonoperative,,prerequisite listing
3893,nonoperative,,prerequisite listing
3894,nonoperative,,prerequisite listing
3895,nonoperative,,prerequisite listing
3897,structural_heading,,
3899,integrated,R-3899,restriction: reference-only inputs
3900,nonoperative,,input listing
3901,nonoperative,,input listing
3902,nonoperative,,input listing
3904,structural_heading,,
