requirement_id,line_no,summary,phase,artifact,validation,owner
R-6301,6301,"Natural-prose audit is a quality audit only, never authorship-detector evasion; check the 14.9 criteria.",cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6304,6304,Rubric check (14.9): varied but controlled sentence rhythm;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6305,6305,Rubric check (14.9): no repeated hollow transitions;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6306,6306,Rubric check (14.9): no compulsive tricolons;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6307,6307,Rubric check (14.9): no more than one First/Second/Third ladder per section;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6308,6308,Rubric check (14.9): concrete paper-specific detail;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6309,6309,"Rubric check (14.9): local, earned hedging;",cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6310,6310,Rubric check (14.9): irregular but coherent paragraph lengths;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6311,6311,Rubric check (14.9): no three consecutive generic sentences;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6312,6312,Rubric check (14.9): no banned stock vocabulary except literal technical uses;,cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6313,6313,"Rubric check (14.9): style-only revisions do not change facts, numbers, citations, labels, or claim scope.",cross,review_R4_editorial.md / natural-prose audit,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R4
R-6318,6318,Rubric check (14.10): Are all equations native OMML and editable?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6319,6319,Rubric check (14.10): Are all tables native Word tables?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6320,6320,Rubric check (14.10): Are captions field-numbered and editable?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6321,6321,Rubric check (14.10): Are cross-references functional after field update?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6322,6322,"Rubric check (14.10): Are section, figure, table, algorithm, and equation numbers automatic?",cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6323,6323,"Rubric check (14.10): Are TOC, list of figures, and list of tables updateable?",cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6324,6324,Rubric check (14.10): Are citations and bibliography live/updateable?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6325,6325,Rubric check (14.10): Are styles used consistently?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6326,6326,Rubric check (14.10): Are diagrams vector/editable with native sources included?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6327,6327,"Rubric check (14.10): Are tracked changes, comments, hidden text, and placeholders absent?",cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6328,6328,Rubric check (14.10): Does content match LaTeX/PDF exactly?,cross,review_R5_word.md,Phase 10/12.21 adversarial review scoring; ticket on any score <=3,R5
R-6332,6332,"Rubric check (14.11): Did ablation begin only after final algorithm, primary benchmark, statistics, and main manuscript freezes?",12,review_final_ablation.md,Phase 12 adversarial review scoring (Section 14.11); ticket on any score <=3,R2
R-6334,6334,Rubric check (14.11): Was the frozen implementation unchanged?,12,review_final_ablation.md,Phase 12 adversarial review scoring (Section 14.11); ticket on any score <=3,R2
R-6335,6335,Rubric check (14.11): Are all audited scaffold cells complete at all four dimensions and n=25 (baseline plus one remove-one cell per mech...,12,review_final_ablation.md,Phase 12 adversarial review scoring (Section 14.11); ticket on any score <=3,R2
R-6339,6339,Rubric check (14.11): Is SGSM-off scope explicit for the scaffold matrix?,12,review_final_ablation.md,Phase 12 adversarial review scoring (Section 14.11); ticket on any score <=3,R2
R-6340,6340,Rubric check (14.11): Is the direct SGSM/adaptive overlay design separate and controlled?,12,review_final_ablation.md,Phase 12 adversarial review scoring (Section 14.11); ticket on any score <=3,R2
R-6341,6341,"Rubric check (14.11): Are marginal, incremental, and interaction claims distinguished?",12,review_final_ablation.md,Phase 12 adversarial review scoring (Section 14.11); ticket on any score <=3,R2
