requirement_id,line_no,summary,phase,artifact,validation,owner
R-3801,3801,P9 verifies planned wording matches method capability.,5,PHASE_5_gate_report.md,Gate 5 sign-off evidence in phase_gate_register.csv,P9
R-3805,3805,no post hoc primary choice;,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P3
R-3806,3806,no pseudo-replication;,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P3
R-3807,3807,no invalid pairing;,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P3
R-3808,3808,no mixed correction families;,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P3
R-3809,3809,no unseeded bootstrap;,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P3
R-3810,3810,no convergence cherry-picking;,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P3
R-3811,3811,no ablation result inspection.,5,phase_gate_register.csv (Gate 5 QA evidence),Phase 5 QA checkpoint audit at Gate 5,P9
R-3815,3815,research questions and endpoints are frozen;,5,phase_gate_register.csv (Gate 5),Gate 5 acceptance evidence in phase_gate_register.csv,P3
R-3816,3816,"units, pairing, tests, corrections, effects, and intervals are valid;",5,phase_gate_register.csv (Gate 5),Gate 5 acceptance evidence in phase_gate_register.csv,P3
R-3817,3817,every exhibit and claim has an analysis binding;,5,phase_gate_register.csv (Gate 5),Gate 5 acceptance evidence in phase_gate_register.csv,P3
R-3818,3818,robustness and cost plans are complete;,5,phase_gate_register.csv (Gate 5),Gate 5 acceptance evidence in phase_gate_register.csv,P3
R-3819,3819,source guard and deterministic outputs are specified;,5,phase_gate_register.csv (Gate 5),Gate 5 acceptance evidence in phase_gate_register.csv,P5
R-3820,3820,final ablation is fully pre-registered but untouched.,5,phase_gate_register.csv (Gate 5),Gate 5 acceptance evidence in phase_gate_register.csv,P9
R-3824,3824,Phase 5 freezes after P3/P4/P5/P9 sign-off. Any later primary analysis change is logged and classified as confirmatory amendment or explo...,5,phase_gate_register.csv (Gate 5),Gate 5 exit record; reopen only via change_request_register.csv (Sec 12.2),P1
R-3853,3853,"All generated outputs plus PHASE_5_gate_report.md summarizing RQs, endpoints, units, families, effects, intervals, strict-source proof pl...",5,PHASE_5_gate_report.md,Gate 5 deliverable check,P1
R-3859,3859,"Gate 5: P3 + P4 + P5 + P9 approve. Invalid pairing, undefined multiplicity, unbound claim, forbidden source, or early ablation access fai...",5,phase_gate_register.csv (Gate 5),Gate 5 approval record in phase_gate_register.csv,P1
R-3883,3883,Phases 0–5 are frozen;,6,phase_gate_register.csv (Phase 6 entry),Phase 6 entry check recorded in phase_gate_register.csv (Sec 12.1),P1
R-3884,3884,source guard tests pass;,6,phase_gate_register.csv (Phase 6 entry),Phase 6 entry check recorded in phase_gate_register.csv (Sec 12.1),P5
R-3885,3885,selected evidence release is immutable and complete;,6,phase_gate_register.csv (Phase 6 entry),Phase 6 entry check recorded in phase_gate_register.csv (Sec 12.1),P4
R-3886,3886,analysis plan and schemas are frozen;,6,phase_gate_register.csv (Phase 6 entry),Phase 6 entry check recorded in phase_gate_register.csv (Sec 12.1),P3
R-3887,3887,algorithm remains unchanged.,6,phase_gate_register.csv (Phase 6 entry),Phase 6 entry check recorded in phase_gate_register.csv (Sec 12.1),P2
R-3899,3899,immutable evidence release only;,6,analysis_source_use.log (Phase 6 task 19),Phase 6 source-use / evidence audit; Gate 6,P4
R-3906,3906,"Phases 2, 3, and 5. No ablation input is permitted.",6,analysis_source_use.log + no-ablation QA (Gate 6),Phase 6 no-ablation scan and source-use audit; Gate 6,P9
R-3910,3910,Create clean analysis environment.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3911,3911,"Record software/library versions, locale, thread settings, RNG behavior, and working directory.",6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3913,3913,Confirm anchor and algorithm freeze hashes.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3915,3915,Activate strict source guard.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3916,3916,Set selected release root and ID.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3917,3917,Disable results/_run_all/ fallback.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3918,3918,Start file-open/source-use logging.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3919,3919,Execute a negative test proving a forbidden path fails.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P5
R-3921,3921,Validate source completeness immediately before analysis.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P4
R-3922,3922,Recompute manifest hashes.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P4
R-3923,3923,"Recheck run counts, seed schedules, FP sentinels, and cell schemas.",6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P4
R-3924,3924,Abort affected analysis on drift.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P4
R-3926,3926,Run primary suite analysis.,6,papers/analysis/<release_id>/cec2017/,Phase 6 validation procedures; Gate 6 review,P3
R-3932,3932,Confirm expected function denominator from release metadata.,6,papers/analysis/<release_id>/cec2017/,Phase 6 validation procedures; Gate 6 review,P3
R-3933,3933,"Capture stdout, stderr, command, environment, and output hashes.",6,papers/analysis/<release_id>/cec2017/,Phase 6 validation procedures; Gate 6 review,P3
R-3935,3935,Run CEC2011 analysis.,6,papers/analysis/<release_id>/cec2011/,Phase 6 validation procedures; Gate 6 review,P3
R-3941,3941,Respect native dimensions and task definitions.,6,papers/analysis/<release_id>/cec2011/,Phase 6 validation procedures; Gate 6 review,P3
R-3943,3943,Run CEC2013 analysis.,6,papers/analysis/<release_id>/cec2013/,Phase 6 validation procedures; Gate 6 review,P3
R-3949,3949,Do not apply the CEC2017 F2 exclusion.,6,papers/analysis/<release_id>/cec2013/,Phase 6 validation procedures; Gate 6 review,P3
R-3951,3951,Compute descriptive summaries.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P3
R-3952,3952,"Best, median, mean, worst, SD, IQR, failures, and n.",6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P3
R-3953,3953,Verify against source summaries and per-run reconstruction.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P3
R-3954,3954,"Resolve any discrepancy through code/provenance audit, never manual edits.",6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P3
R-3956,3956,Compute omnibus ranks/tests.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P3
R-3957,3957,One frozen design per suite/dimension.,6,papers/analysis/<release_id>/ bundle,Phase 6 validation procedures; Gate 6 review,P3
