line_no,classification,requirement_id,note
2571,structural_heading,,
2573,structural_heading,,
2575,nonoperative,,
2576,nonoperative,,
2577,nonoperative,,
2579,structural_heading,,
2581,nonoperative,,outcome summary (enforced via acceptance criteria)
2582,nonoperative,,outcome summary (enforced via acceptance criteria)
2583,nonoperative,,outcome summary (enforced via acceptance criteria)
2584,nonoperative,,outcome summary (enforced via acceptance criteria)
2585,nonoperative,,outcome summary (enforced via acceptance criteria)
2586,nonoperative,,outcome summary (enforced via acceptance criteria)
2587,nonoperative,,outcome summary (enforced via acceptance criteria)
2589,structural_heading,,
2591,integrated,R-2591,
2592,integrated,R-2592,
2593,integrated,R-2593,
2594,integrated,R-2593,cont.
2596,structural_heading,,
2598,integrated,R-2598,directive in Prerequisites: never assume historical docs/paths correct
2599,integrated,R-2598,cont.
2601,structural_heading,,
2603,nonoperative,,
2604,nonoperative,,
2605,nonoperative,,
2606,nonoperative,,
2607,nonoperative,,
2609,structural_heading,,
2611,nonoperative,,
2613,structural_heading,,
2615,integrated,R-2615,
2616,integrated,R-2616,
2617,integrated,R-2616,cont.
2618,integrated,R-2616,cont.
2619,integrated,R-2616,cont.
2620,integrated,R-2616,cont.
2621,integrated,R-2616,cont.
2622,integrated,R-2616,cont.
2623,integrated,R-2623,
2624,integrated,R-2624,
2626,example_or_comment,,
2627,example_or_comment,,
2628,example_or_comment,,
2629,example_or_comment,,
2630,example_or_comment,,
2631,example_or_comment,,
2633,integrated,R-2633,
2634,integrated,R-2634,
2635,integrated,R-2634,cont.
2636,integrated,R-2634,cont.
2637,integrated,R-2634,cont.
2639,integrated,R-2639,
2640,integrated,R-2640,
2641,integrated,R-2640,cont.
2642,integrated,R-2642,
2643,integrated,R-2643,
2644,integrated,R-2643,cont.
2646,integrated,R-2646,
2647,integrated,R-2647,
2648,integrated,R-2647,cont.
2649,integrated,R-2647,cont.
2650,integrated,R-2647,cont.
2651,integrated,R-2647,cont.
2652,integrated,R-2647,cont.
2653,integrated,R-2647,cont.
2654,integrated,R-2654,
2655,integrated,R-2654,cont.
2656,integrated,R-2654,cont.
2657,integrated,R-2654,cont.
2658,integrated,R-2654,cont.
2659,integrated,R-2659,
2660,integrated,R-2659,cont.
2661,integrated,R-2661,
2662,integrated,R-2661,cont.
2663,integrated,R-2661,cont.
2664,integrated,R-2661,cont.
2666,integrated,R-2666,
2667,integrated,R-2667,
2668,integrated,R-2667,cont.
2669,integrated,R-2667,cont.
2670,integrated,R-2667,cont.
2671,integrated,R-2667,cont.
2672,integrated,R-2672,
2673,integrated,R-2673,
2675,integrated,R-2675,
2676,integrated,R-2676,
2677,integrated,R-2676,cont.
2678,integrated,R-2678,
2679,integrated,R-2678,cont.
2681,integrated,R-2681,
2682,integrated,R-2682,
2684,example_or_comment,,
2685,example_or_comment,,
2686,example_or_comment,,
2687,example_or_comment,,
2688,example_or_comment,,
2689,example_or_comment,,
2690,example_or_comment,,
2691,example_or_comment,,
2692,example_or_comment,,
2694,integrated,R-2694,
2695,integrated,R-2695,
2697,integrated,R-2697,
2698,integrated,R-2698,
2699,integrated,R-2699,
2701,integrated,R-2701,
2702,integrated,R-2702,
2703,integrated,R-2703,
2705,structural_heading,,
2707,integrated,R-2707,
2708,integrated,R-2708,
2709,integrated,R-2709,
2710,integrated,R-2710,
2711,integrated,R-2711,
2712,integrated,R-2712,
2713,integrated,R-2713,
2714,integrated,R-2714,
2715,integrated,R-2715,
2716,integrated,R-2716,
2717,integrated,R-2717,
2718,integrated,R-2718,
2719,integrated,R-2719,
2721,structural_heading,,
2723,integrated,R-2723,
2724,integrated,R-2724,
2725,integrated,R-2724,cont.
2726,integrated,R-2724,cont.
2727,integrated,R-2727,
2728,integrated,R-2727,cont.
2729,integrated,R-2729,
2730,integrated,R-2730,
2732,structural_heading,,
2734,integrated,R-2734,
2735,integrated,R-2735,
2736,integrated,R-2736,
2737,integrated,R-2737,
2739,structural_heading,,
2741,integrated,R-2741,
2742,integrated,R-2742,
2743,integrated,R-2743,
2744,integrated,R-2744,
2746,structural_heading,,
2748,integrated,R-2748,
2749,integrated,R-2749,
2750,integrated,R-2750,
2751,integrated,R-2751,
2752,integrated,R-2752,
2753,integrated,R-2753,
2754,integrated,R-2754,
2755,integrated,R-2754,cont.
2756,integrated,R-2756,
2758,structural_heading,,
2760,integrated,R-2760,
2761,integrated,R-2760,cont.
2762,integrated,R-2760,cont.
2764,structural_heading,,
2766,structural_heading,,table header
2767,structural_heading,,table rule
2768,nonoperative,,risk-table row (context)
2769,nonoperative,,risk-table row (context)
2770,nonoperative,,risk-table row (context)
2771,nonoperative,,risk-table row (context)
2773,structural_heading,,
2775,nonoperative,,assumption; tracked in assumption_register.csv
2776,nonoperative,,assumption; tracked in assumption_register.csv
2777,nonoperative,,assumption; tracked in assumption_register.csv
2779,structural_heading,,
2781,nonoperative,,"advisory mitigation, not mandatory"
2782,nonoperative,,"advisory mitigation, not mandatory"
2783,nonoperative,,"advisory mitigation, not mandatory"
2784,nonoperative,,"advisory mitigation, not mandatory"
2786,structural_heading,,
2788,integrated,R-2788,
2789,integrated,R-2788,cont.
2791,structural_heading,,
2793,integrated,R-2793,
2794,integrated,R-2793,cont.
2796,structural_heading,,horizontal rule
2798,structural_heading,,
2800,structural_heading,,
2802,nonoperative,,
2803,nonoperative,,
2805,structural_heading,,
2807,nonoperative,,outcome summary (enforced via acceptance criteria)
2808,nonoperative,,outcome summary (enforced via acceptance criteria)
2809,nonoperative,,outcome summary (enforced via acceptance criteria)
2810,nonoperative,,outcome summary (enforced via acceptance criteria)
2811,nonoperative,,outcome summary (enforced via acceptance criteria)
2813,structural_heading,,
2815,integrated,R-2815,
2816,integrated,R-2816,
2817,integrated,R-2816,cont.
2818,integrated,R-2818,
2820,structural_heading,,
2822,nonoperative,,
2823,nonoperative,,
2824,nonoperative,,
2826,structural_heading,,
2828,nonoperative,,
2829,nonoperative,,
2830,nonoperative,,
2831,nonoperative,,
2833,structural_heading,,
2835,nonoperative,,
2837,structural_heading,,
2839,integrated,R-2839,
2840,integrated,R-2840,
2841,integrated,R-2841,
2842,integrated,R-2841,cont.
2843,integrated,R-2843,
2845,integrated,R-2845,
2846,integrated,R-2846,
2847,integrated,R-2847,
2848,integrated,R-2847,cont.
2850,integrated,R-2850,
2851,integrated,R-2851,
2852,integrated,R-2852,
2853,integrated,R-2853,
2855,integrated,R-2855,
2856,integrated,R-2856,
2857,integrated,R-2856,cont.
2858,integrated,R-2858,
2859,integrated,R-2859,
2861,integrated,R-2861,
2862,integrated,R-2862,
2863,integrated,R-2863,
2864,integrated,R-2863,cont.
2866,integrated,R-2866,
2867,integrated,R-2867,
2868,integrated,R-2868,
2869,integrated,R-2869,
2871,integrated,R-2871,
2872,integrated,R-2872,
2873,integrated,R-2872,cont.
2874,integrated,R-2874,
2876,integrated,R-2876,
2877,integrated,R-2877,
2878,integrated,R-2878,
2880,integrated,R-2880,
2881,integrated,R-2881,
2882,integrated,R-2882,
2883,integrated,R-2883,
2885,structural_heading,,
2887,integrated,R-2887,
2888,integrated,R-2888,
2889,integrated,R-2889,
2890,integrated,R-2890,
2891,integrated,R-2891,
2892,integrated,R-2892,
2893,integrated,R-2893,
2895,structural_heading,,
2897,integrated,R-2897,
2898,integrated,R-2898,
2899,integrated,R-2899,
2900,integrated,R-2900,
2902,structural_heading,,
2904,integrated,R-2904,
2905,integrated,R-2905,
2906,integrated,R-2905,cont.
2907,integrated,R-2907,
2908,integrated,R-2908,
2910,structural_heading,,
2912,integrated,R-2912,
2913,integrated,R-2913,
2914,integrated,R-2914,
2915,integrated,R-2915,
2916,integrated,R-2916,
2918,structural_heading,,
2920,integrated,R-2920,
2921,integrated,R-2921,
2922,integrated,R-2922,
2923,integrated,R-2923,
2924,integrated,R-2924,
2925,integrated,R-2925,
2926,integrated,R-2926,
2928,structural_heading,,
2930,integrated,R-2930,
2931,integrated,R-2930,cont.
2932,integrated,R-2930,cont.
2934,structural_heading,,
2936,structural_heading,,table header
2937,structural_heading,,table rule
2938,nonoperative,,risk-table row (context)
2939,nonoperative,,risk-table row (context)
2940,nonoperative,,risk-table row (context)
2941,nonoperative,,risk-table row (context)
2943,structural_heading,,
2945,nonoperative,,assumption; tracked in assumption_register.csv
2946,nonoperative,,assumption; tracked in assumption_register.csv
2947,nonoperative,,assumption; tracked in assumption_register.csv
2949,structural_heading,,
2951,nonoperative,,"advisory mitigation, not mandatory"
2952,nonoperative,,"advisory mitigation, not mandatory"
2953,nonoperative,,"advisory mitigation, not mandatory"
2954,nonoperative,,"advisory mitigation, not mandatory"
2956,structural_heading,,
2958,integrated,R-2958,
2959,integrated,R-2958,cont.
2961,structural_heading,,
2963,integrated,R-2963,
2964,integrated,R-2963,cont.
2966,structural_heading,,horizontal rule
2968,structural_heading,,
2970,structural_heading,,
2972,nonoperative,,
2973,nonoperative,,
2974,nonoperative,,
2976,structural_heading,,
2978,nonoperative,,outcome summary (enforced via acceptance criteria)
2979,nonoperative,,outcome summary (enforced via acceptance criteria)
2980,nonoperative,,outcome summary (enforced via acceptance criteria)
2981,nonoperative,,outcome summary (enforced via acceptance criteria)
2982,nonoperative,,outcome summary (enforced via acceptance criteria)
2983,nonoperative,,outcome summary (enforced via acceptance criteria)
2984,nonoperative,,outcome summary (enforced via acceptance criteria)
2986,structural_heading,,
2988,integrated,R-2988,
2989,integrated,R-2989,
2990,integrated,R-2990,
2992,structural_heading,,
2994,nonoperative,,
2995,nonoperative,,
2996,nonoperative,,
2997,nonoperative,,
2999,structural_heading,,
3001,nonoperative,,
3002,nonoperative,,
3003,nonoperative,,
3004,nonoperative,,
3005,nonoperative,,
3006,nonoperative,,
3008,structural_heading,,
3010,nonoperative,,
3012,structural_heading,,
3014,integrated,R-3014,
3015,integrated,R-3015,
3016,integrated,R-3016,
3017,integrated,R-3016,cont.
3018,integrated,R-3018,
3019,integrated,R-3019,
3021,integrated,R-3021,
3023,example_or_comment,,
3024,example_or_comment,,
3025,example_or_comment,,
3027,integrated,R-3027,
3028,integrated,R-3028,
